date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
2015-01-01,20,17,1013.7,94,60,23,17,19,16,1016,1012,1.0
2015-01-02,23,19,1014.11,94,57,27,19,22,17,1017,1012,0.0
2015-01-03,26,21,1013.62,94,57,30,21,24,19,1017,1011,46.0
2015-01-04,22,19,1013.05,94,67,25,19,20,18,1015,1011,0.0
2015-01-05,20,15,1012.8,94,40,24,16,19,13,1016,1011,0.0
2015-01-06,18,13,1013.44,94,36,24,13,17,10,1016,1011,0.0
2015-01-07,18,13,1013.31,94,40,24,12,17,11,1016,1011,0.0
2015-01-08,18,14,1013.3,94,33,25,12,15,12,1016,1011,0.0
2015-01-09,18,14,1014.59,94,44,23,14,15,13,1018,1013,0.0
2015-01-10,19,13,1015.0,94,32,25,13,15,9,1017,1013,0.0
2015-01-11,15,13,1016.71,94,60,19,11,14,10,1020,1015,0.0
2015-01-12,17,11,1015.78,94,24,23,11,13,7,1019,1013,0.0
2015-01-13,18,12,1014.93,94,42,23,12,14,11,1018,1012,0.0
2015-01-14,18,13,1015.07,94,35,24,13,16,11,1018,1013,0.0
2015-01-15,18,13,1014.78,94,38,25,11,16,11,1018,1012,0.0
2015-01-16,20,14,1014.51,94,35,25,14,16,12,1017,1012,0.0
2015-01-17,20,12,1014.33,88,25,25,14,14,9,1017,1012,0.0
2015-01-18,16,12,1015.24,94,43,21,11,14,11,1018,1013,0.0
2015-01-19,16,12,1016.33,94,46,22,11,14,11,1019,1014,0.0
2015-01-20,17,12,1017.96,100,32,23,11,14,10,1021,1016,0.0
2015-01-21,18,11,1019.19,94,24,25,11,13,7,1022,1017,0.0
2015-01-22,19,12,1018.0,94,31,26,12,14,10,1021,1015,0.0
2015-01-23,20,11,1015.24,94,23,28,11,14,7,1018,1013,0.0
2015-01-24,20,14,1016.06,94,31,27,14,16,11,1018,1014,0.0
2015-01-25,20,14,1017.37,94,32,27,14,16,12,1020,1015,0.0
2015-01-26,20,14,1016.82,94,35,26,15,16,11,1020,1014,0.0
2015-01-27,20,14,1014.98,88,39,27,14,16,12,1018,1013,0.0
2015-01-28,19,15,1013.89,94,37,23,15,17,12,1016,1012,0.0
2015-01-29,21,16,1014.98,94,43,26,16,17,12,1017,1012,0.0
2015-01-30,20,16,1016.18,94,51,23,16,18,14,1019,1014,0.0
2015-01-31,18,10,1017.27,94,26,23,12,15,7,1020,1015,0.0
2015-02-01,18,10,1017.0,94,26,24,11,12,7,1019,1015,0.0
2015-02-02,18,10,1018.23,94,24,25,11,12,7,1021,1017,0.0
2015-02-03,20,12,1018.96,94,21,28,12,15,8,1022,1017,0.0
2015-02-04,22,13,1017.04,94,21,31,14,16,9,1021,1014,0.0
2015-02-05,22,15,1016.07,94,36,27,16,17,14,1019,1014,0.0
2015-02-06,20,12,1016.46,83,30,25,16,16,10,1020,1015,0.0
2015-02-07,18,11,1015.4,94,20,25,11,13,7,1018,1013,0.0
2015-02-08,21,13,1015.15,94,21,29,13,15,10,1018,1013,0.0
2015-02-09,21,14,1016.38,94,29,27,15,17,12,1019,1015,0.0
2015-02-10,22,15,1016.46,94,34,28,16,17,13,1020,1014,0.0
2015-02-11,22,13,1015.09,94,23,27,17,17,9,1018,1013,0.0
2015-02-12,22,13,1013.28,88,22,28,15,16,8,1017,1010,0.0
2015-02-13,22,14,1011.77,94,28,27,16,17,12,1014,1010,0.0
2015-02-14,22,14,1011.11,88,32,29,15,19,13,1014,1008,0.0
2015-02-15,24,18,1011.31,100,39,30,18,22,16,1014,1009,1.0
2015-02-16,24,18,1013.28,94,41,30,17,21,15,1016,1011,0.0
2015-02-17,24,20,1011.7,100,47,30,19,21,18,1014,1009,0.0
2015-02-18,26,20,1011.15,95,44,31,20,22,17,1014,1008,1.0
2015-02-19,24,20,1011.78,94,51,29,19,22,16,1015,1009,0.0
2015-02-20,26,18,1012.93,94,27,32,20,22,14,1016,1011,0.0
2015-02-21,26,19,1011.64,94,30,33,20,21,15,1014,1009,0.0
2015-02-22,28,20,1011.7,94,24,33,22,23,14,1014,1010,0.0
2015-02-23,27,20,1012.2,94,29,33,21,23,16,1015,1010,0.0
2015-02-24,27,20,1010.36,94,42,33,21,22,18,1014,1007,0.0
2015-02-25,26,20,1008.93,94,36,32,21,22,18,1011,1007,0.0
2015-02-26,28,21,1007.94,89,32,34,22,22,18,1011,1005,0.0
2015-02-27,28,20,1009.25,94,26,34,21,23,17,1012,1007,0.0
2015-02-28,28,20,1011.07,89,30,33,23,22,17,1014,1009,0.0
2015-03-01,27,19,1011.9,100,33,33,21,23,16,1014,1010,0.0
2015-03-02,27,17,1012.43,94,24,34,20,21,13,1015,1010,0.0
2015-03-03,26,18,1010.46,83,32,31,21,20,17,1013,1007,2.0
2015-03-04,24,20,1010.25,94,51,27,20,22,18,1014,1007,8.0
2015-03-05,24,13,1013.19,94,18,29,19,21,7,1016,1011,0.0
