date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,mintempm_1,mintempm_2,maxtempm_1,maxtempm_2,maxhumidity_1,maxhumidity_2,minhumidity_1,minhumidity_2
2014-01-01,18,12,1015.58,94,28,26,11,15,10,1019,1013,0.0,12,13,27,23,94,88,41,45
2014-01-02,20,14,1015.63,94,41,27,12,17,12,1018,1014,0.0,13,11,23,23,88,88,45,32
2014-01-03,18,13,1016.06,88,45,23,13,15,10,1020,1014,0.0,11,10,23,24,88,94,32,34
2014-01-04,17,10,1014.5,88,32,23,11,13,7,1018,1012,0.0,10,13,24,23,94,94,34,41
2014-01-05,17,11,1012.39,94,34,24,10,14,9,1015,1010,0.0,13,13,23,24,94,94,41,44
2014-01-06,18,13,1013.15,94,41,23,13,15,12,1016,1011,0.0,13,10,24,23,94,94,44,34
2014-01-07,18,13,1015.02,94,44,24,13,15,11,1017,1013,0.0,10,9,23,24,94,94,34,29
2014-01-08,16,10,1016.44,94,34,23,10,13,7,1020,1014,0.0,9,8,24,25,94,100,29,34
2014-01-09,16,9,1014.83,94,29,24,9,12,6,1018,1012,0.0,8,10,25,26,100,94,34,38
2014-01-10,16,11,1014.76,100,34,25,8,16,7,1018,1013,0.0,10,15,26,24,94,90,38,48
2014-01-11,18,13,1015.39,94,38,26,10,16,10,1018,1013,0.0,15,14,24,24,90,94,48,46
2014-01-12,20,14,1016.95,90,48,24,15,16,13,1020,1015,0.0,14,13,24,22,94,100,46,50
2014-01-13,19,14,1016.7,94,46,24,14,16,12,1021,1014,0.0,13,12,22,18,100,100,50,70
2014-01-14,18,14,1015.41,100,50,22,13,15,12,1018,1013,0.0,12,11,18,19,100,94,70,64
2014-01-15,15,13,1016.42,100,70,18,12,14,11,1019,1015,0.0,11,12,19,24,94,95,64,52
2014-01-16,15,13,1017.44,94,64,19,11,15,11,1020,1015,0.0,12,10,24,27,95,100,52,34
2014-01-17,18,14,1017.17,95,52,24,12,16,12,1021,1015,0.0,10,14,27,28,100,94,34,39
2014-01-18,18,13,1017.25,100,34,27,10,16,10,1020,1015,0.0,14,15,28,25,94,94,39,56
2014-01-19,21,14,1018.08,94,39,28,14,18,12,1021,1016,0.0,15,12,25,23,94,100,56,47
2014-01-20,20,15,1019.39,94,56,25,15,16,13,1022,1017,0.0,12,11,23,25,100,100,47,32
2014-01-21,18,13,1018.83,100,47,23,12,14,12,1022,1016,0.0,11,11,25,27,100,94,32,28
2014-01-22,18,12,1017.63,100,32,25,11,14,9,1021,1015,0.0,11,13,27,26,94,94,28,47
2014-01-23,19,11,1016.07,94,28,27,11,15,5,1019,1014,0.0,13,14,26,27,94,94,47,44
2014-01-24,20,15,1014.96,94,47,26,13,18,11,1018,1013,0.0,14,13,27,25,94,89,44,36
2014-01-25,20,14,1014.54,94,44,27,14,18,13,1018,1013,0.0,13,12,25,23,89,88,36,44
2014-01-26,19,13,1015.56,89,36,25,13,16,11,1018,1013,0.0,12,11,23,22,88,92,44,38
2014-01-27,18,12,1015.91,88,44,23,12,18,10,1020,1014,0.0,11,11,22,25,92,94,38,50
2014-01-28,16,12,1015.76,92,38,22,11,15,8,1019,1014,0.0,11,11,25,26,94,100,50,30
2014-01-29,18,13,1015.87,94,50,25,11,18,11,1018,1014,0.0,11,13,26,26,100,94,30,36
2014-01-30,18,13,1015.83,100,30,26,11,16,11,1019,1013,0.0,13,12,26,26,94,94,36,31
2014-01-31,20,12,1016.05,94,36,26,13,14,11,1019,1015,0.0,12,12,26,25,94,94,31,22
2014-02-01,19,13,1015.51,94,31,26,12,14,11,1018,1014,0.0,12,11,25,26,94,100,22,22
2014-02-02,18,11,1013.98,94,22,25,12,14,8,1018,1011,0.0,11,11,26,28,100,94,22,33
2014-02-03,18,10,1011.43,100,22,26,11,13,7,1015,1009,0.0,11,13,28,30,94,94,33,25
2014-02-04,20,12,1009.25,94,33,28,11,15,10,1012,1007,0.0,13,15,30,30,94,83,25,27
2014-02-05,22,14,1008.77,94,25,30,13,20,10,1011,1007,0.0,15,15,30,32,83,94,27,27
2014-02-06,22,14,1009.57,83,27,30,15,17,11,1012,1008,0.0,15,18,32,31,94,94,27,27
2014-02-07,24,15,1008.75,94,27,32,15,17,11,1012,1006,0.0,18,18,31,31,94,97,27,22
2014-02-08,24,17,1006.7,94,27,31,18,20,10,1010,1005,0.0,18,18,31,28,97,88,22,35
2014-02-09,24,16,1006.96,97,22,31,18,20,12,1009,1005,0.0,18,16,28,28,88,94,35,39
2014-02-10,23,15,1008.94,88,35,28,18,19,13,1012,1007,0.0,16,16,28,27,94,82,39,20
2014-02-11,22,15,1008.92,94,39,28,16,16,13,1012,1007,0.0,16,13,27,28,82,88,20,24
2014-02-12,22,11,1010.22,82,20,27,16,15,7,1013,1007,0.0,13,13,28,30,88,86,24,31
2014-02-13,20,12,1013.26,88,24,28,13,18,8,1016,1011,0.0,13,17,30,27,86,83,31,53
2014-02-14,22,14,1012.4,86,31,30,13,17,12,1015,1010,0.0,17,17,27,20,83,100,53,78
2014-02-15,22,16,1010.8,83,53,27,17,18,15,1014,1008,14.0,17,15,20,24,100,100,78,35
2014-02-16,18,18,1010.88,100,78,20,17,19,16,1013,1009,20.0,15,11,24,24,100,88,35,23
2014-02-17,20,15,1013.38,100,35,24,15,18,11,1016,1011,0.0,11,13,24,25,88,96,23,29
2014-02-18,18,10,1016.67,88,23,24,11,12,6,1020,1015,0.0,13,13,25,27,96,94,29,22
2014-02-19,19,12,1014.87,96,29,25,13,14,10,1018,1012,0.0,13,14,27,29,94,94,22,29
2014-02-20,20,11,1013.56,94,22,27,13,15,8,1016,1012,0.0,14,15,29,31,94,100,29,34
2014-02-21,22,14,1013.85,94,29,29,14,17,11,1017,1012,0.0,15,18,31,30,100,88,34,35
2014-02-22,23,16,1014.7,100,34,31,15,20,14,1018,1013,0.0,18,18,30,30,88,88,35,35
2014-02-23,24,17,1015.4,88,35,30,18,18,15,1018,1014,0.0,18,20,30,29,88,94,35,42
2014-02-24,24,17,1015.6,88,35,30,18,19,16,1019,1013,0.0,20,19,29,29,94,88,42,38
2014-02-25,24,18,1015.41,94,42,29,20,20,17,1018,1013,0.0,19,18,29,29,88,94,38,30
2014-02-26,24,17,1013.67,88,38,29,19,18,15,1016,1011,0.0,18,19,29,30,94,88,30,33
2014-02-27,24,16,1014.06,94,30,29,18,19,13,1017,1012,0.0,19,18,30,29,88,94,33,40
2014-02-28,24,16,1014.39,88,33,30,19,18,14,1019,1011,0.0,18,18,29,29,94,88,40,40
2014-03-01,24,17,1013.75,94,40,29,18,19,15,1016,1012,0.0,18,17,29,29,88,94,40,27
2014-03-02,24,17,1013.11,88,40,29,18,19,15,1016,1012,0.0,17,19,29,29,94,83,27,31
2014-03-03,23,16,1013.59,94,27,29,17,19,13,1016,1011,0.0,19,18,29,29,83,83,31,30
2014-03-04,24,16,1014.44,83,31,29,19,17,14,1018,1011,0.2,18,18,29,30,83,88,30,31
2014-03-05,24,15,1013.67,83,30,29,18,17,12,1017,1011,0.0,18,19,30,30,88,88,31,16
2014-03-06,24,16,1013.41,88,31,30,18,17,15,1017,1011,0.0,0,0,0,0,0,0,0,0
2014-03-07,24,14,1014.3,88,16,30,19,18,8,1017,1012,0.0,0,0,0,0,0,0,0,0
2014-03-09,26,14,1013.89,88,21,32,19,18,12,1017,1012,0.0,17,21,32,33,77,83,19,26
2014-03-10,24,13,1013.57,77,19,32,17,17,11,1017,1011,0.0,21,22,33,34,83,83,26,30
2014-03-11,27,16,1013.72,83,26,33,21,19,14,1017,1012,0.0,22,24,34,32,83,78,30,32
2014-03-12,28,18,1012.91,83,30,34,22,24,16,1016,1011,0.0,24,23,32,34,78,88,32,25
2014-03-13,28,19,1012.13,78,32,32,24,21,17,1015,1010,0.0,0,0,0,0,0,0,0,0
2014-03-14,28,18,1012.41,88,25,34,23,20,15,1016,1010,0.0,0,0,0,0,0,0,0,0
2014-03-16,28,15,1013.85,83,19,35,20,18,10,1017,1011,0.0,23,21,35,37,88,94,28,27
2014-03-17,29,19,1012.55,88,28,35,23,24,15,1019,1010,0.0,21,23,37,37,94,100,27,24
2014-03-18,29,21,1011.24,94,27,37,21,24,15,1015,1008,0.0,23,24,37,34,100,73,24,16
2014-03-19,30,20,1009.15,100,24,37,23,24,11,1012,1007,0.0,24,22,34,35,73,70,16,17
2014-03-20,29,15,1009.54,73,16,34,24,20,10,1013,1007,0.0,22,21,35,35,70,94,17,36
2014-03-21,28,14,1008.12,70,17,35,22,22,10,1012,1005,0.0,21,21,35,34,94,88,36,42
2014-03-22,28,21,1006.51,94,36,35,21,24,19,1010,1004,0.0,21,22,34,34,88,94,42,42
2014-03-23,28,19,1009.13,88,42,34,21,23,17,1012,1006,0.0,22,21,34,33,94,94,42,50
2014-03-24,28,22,1010.57,94,42,34,22,25,18,1013,1007,15.0,21,22,33,35,94,94,50,34
2014-03-25,27,21,1009.82,94,50,33,21,25,18,1012,1007,1.0,22,25,35,37,94,94,34,29
2014-03-26,28,22,1008.94,94,34,35,22,26,19,1012,1007,0.0,25,26,37,37,94,89,29,25
2014-03-27,31,24,1007.82,94,29,37,25,26,17,1011,1005,0.0,26,25,37,39,89,84,25,19
2014-03-28,32,22,1007.18,89,25,37,26,26,17,1010,1005,0.0,25,26,39,39,84,66,19,16
2014-03-29,32,19,1006.13,84,19,39,25,24,15,1009,1003,0.0,26,26,39,38,66,71,16,18
2014-03-30,32,19,1005.07,66,16,39,26,24,15,1008,1002,0.0,26,25,38,36,71,89,18,16
2014-03-31,32,18,1005.15,71,18,38,26,24,13,1008,1003,0.0,25,25,36,38,89,89,16,14
2014-04-01,30,18,1005.02,89,16,36,25,24,11,1008,1003,0.0,25,26,38,37,89,94,14,47
2014-04-02,32,20,1005.54,89,14,38,25,25,10,1008,1003,0.0,26,26,37,33,94,89,47,44
2014-04-03,32,25,1006.1,94,47,37,26,26,24,1009,1004,0.0,26,23,33,36,89,89,44,16
2014-04-04,30,22,1007.11,89,44,33,26,25,20,1010,1003,0.0,23,26,36,38,89,89,16,16
2014-04-05,30,19,1007.74,89,16,36,23,24,12,1010,1005,0.0,26,27,38,38,89,89,16,38
2014-04-06,32,19,1007.56,89,16,38,26,25,11,1010,1005,0.0,27,27,38,37,89,89,38,48
2014-04-07,32,25,1007.09,89,38,38,27,27,23,1010,1004,0.0,27,27,37,36,89,85,48,39
2014-04-08,32,26,1005.36,89,48,37,27,27,24,1008,1003,0.0,27,27,36,37,85,84,39,12
2014-04-09,32,25,1006.81,85,39,36,27,26,21,1010,1004,0.0,27,26,37,38,84,89,12,20
2014-04-10,32,20,1008.75,84,12,37,27,27,11,1011,1007,0.0,26,24,38,37,89,89,20,30
2014-04-11,32,20,1008.35,89,20,38,26,25,15,1012,1005,0.0,24,24,37,36,89,79,30,36
2014-04-12,30,21,1007.59,89,30,37,24,24,19,1011,1004,0.0,24,24,36,37,79,89,36,25
2014-04-13,30,21,1009.13,79,36,36,24,25,18,1012,1007,0.0,24,25,37,37,89,84,25,36
2014-04-14,30,22,1009.67,89,25,37,24,24,19,1012,1007,0.0,25,25,37,39,84,84,36,23
2014-04-15,31,23,1008.87,84,36,37,25,25,21,1012,1006,0.0,25,27,39,39,84,84,23,30
2014-04-16,32,22,1006.51,84,23,39,25,25,17,1010,1003,0.0,27,26,39,38,84,84,30,36
2014-04-17,33,23,1005.5,84,30,39,27,26,19,1008,1003,0.0,26,27,38,38,84,74,36,32
2014-04-18,32,23,1007.89,84,36,38,26,25,20,1011,1006,0.0,27,27,38,40,74,84,32,24
2014-04-19,32,22,1007.59,74,32,38,27,24,20,1011,1005,0.0,27,25,40,38,84,65,24,18
2014-04-20,34,22,1007.0,84,24,40,27,25,18,1010,1005,0.2,25,27,38,39,65,79,18,20
2014-04-21,32,17,1007.91,65,18,38,25,22,13,1010,1006,0.0,27,29,39,40,79,66,20,16
2014-04-22,33,20,1008.98,79,20,39,27,23,18,1012,1007,0.0,29,28,40,41,66,70,16,24
2014-04-23,34,18,1006.96,66,16,40,29,24,14,1010,1004,0.0,28,28,41,40,70,82,24,23
2014-04-24,34,21,1004.65,70,24,41,28,26,17,1007,1002,0.0,28,28,40,41,82,94,23,36
2014-04-25,34,23,1004.73,82,23,40,28,27,18,1008,1002,0.0,28,28,41,40,94,94,36,40
2014-04-26,34,26,1005.0,94,36,41,28,29,24,1007,1002,0.0,28,27,40,38,94,89,40,47
2014-04-27,34,27,1005.64,94,40,40,28,29,24,1008,1003,0.0,27,27,38,38,89,89,47,42
2014-04-28,32,26,1005.76,89,47,38,27,27,25,1009,1003,0.0,27,26,38,39,89,84,42,45
2014-04-29,32,26,1005.02,89,42,38,27,26,25,1008,1002,0.0,26,27,39,38,84,89,45,43
2014-04-30,32,25,1005.45,84,45,39,26,27,22,1008,1002,0.0,27,24,38,36,89,97,43,43
2014-05-01,32,26,1003.98,89,43,38,27,27,25,1007,1001,0.0,24,21,36,33,97,94,43,51
2014-05-02,30,23,1006.02,97,43,36,24,26,20,1011,1003,18.0,21,21,33,35,94,89,51,58
2014-05-03,27,22,1006.33,94,51,33,21,25,20,1010,1003,26.0,21,22,35,32,89,89,58,51
2014-05-04,28,24,1005.89,89,58,35,21,27,20,1010,1003,14.0,22,25,32,36,89,100,51,47
2014-05-05,27,22,1007.91,89,51,32,22,25,19,1011,1004,0.0,25,27,36,37,100,84,47,49
2014-05-06,30,24,1008.46,100,47,36,25,27,23,1011,1005,0.0,27,28,37,37,84,84,49,41
2014-05-07,32,24,1005.71,84,49,37,27,27,23,1008,1003,0.0,28,28,37,39,84,84,41,38
2014-05-08,32,25,1002.81,84,41,37,28,26,23,1007,1000,0.0,28,28,39,37,84,66,38,33
2014-05-09,34,25,1000.7,84,38,39,28,27,20,1003,998,0.0,28,26,37,36,66,84,33,50
2014-05-10,32,22,1002.48,66,33,37,28,26,18,1006,999,0.0,26,27,36,41,84,85,50,21
2014-05-11,31,24,1003.53,84,50,36,26,26,21,1005,1001,0.0,27,28,41,39,85,94,21,40
